#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS,src_page
12,FW,MATEO Clara,Clara Coline Mona,MATEO,MATEO,28/11/1997,Paris FC (FRA),168,25,4,10
13,DF,BACHA Selma,Selma Lena,BACHA,BACHA,09/11/2000,Olympique Lyonnais (FRA),161,21,1,10
14,DF,TOUNKARA Aissatou,Aïssatou,TOUNKARA,TOUNKARA,16/03/1995,Manchester United WFC (ENG),174,40,3,10
15,MF,DALI Kenza,Kenza,DALI,DALI,31/07/1991,Aston Villa LFC (ENG),165,60,12,10
16,GK,PEYRAUD-MAGNIN Pauline,Pauline Camille,PEYRAUD-MAGNIN,PEYRAUD-MAGNIN,17/03/1992,Juventus FC (ITA),175,46,0,10
17,MF,LE GARREC Lea,Léa Aliette Jeanine,LE GARREC,LE GARREC,09/07/1993,FC Fleury 91 (FRA),165,8,2,10
18,FW,ASSEYI Viviane,Viviane Marie-Louise Blanche,ASSEYI,ASSEYI,20/11/1993,West Ham United WFC (ENG),163,64,14,10
19,FW,FELLER Naomie,Naomie Noëlle,FELLER,FELLER,06/11/2001,Real Madrid CF (ESP),170,6,1,10
20,DF,CASCARINO Estelle,Estelle,CASCARINO,CASCARINO,05/02/1997,Paris Saint-Germain FC (FRA),165,14,1,10
21,GK,PICAUD Constance,Constance Lara Colline,PICAUD,PICAUD,05/07/1998,Paris Saint-Germain FC (FRA),180,2,0,10
22,DF,PERISSET Eve,Eve Josette Noëlle,PERISSET,PERISSET,24/12/1994,Chelsea FCW (ENG),160,52,4,10
23,FW,BECHO Vicki,Vicki Jessy,BECHO,BECHO,03/10/2003,Olympique Lyonnais (FRA),168,6,1,10
1,GK,THEUS Kerly,Kerly,THEUS,THEUS,07/01/1999,FC Miami City (USA),175,,,12
2,DF,SURPRIS Chelsea,Chelsea Ariane,SURPRIS,SURPRIS,20/12/1996,Grenoble Foot 38 (FRA),167,,,12
3,DF,LIMAGE Jennyfer,Jennyfer,LIMAGE,LIMAGE,25/12/1997,Grenoble Foot 38 (FRA),180,,,12
4,DF,JOSEPH Tabita,Dougenie Tabita Kerbie,JOSEPH,T. JOSEPH,13/09/2003,Stade Brest (FRA),170,,,12
5,DF,MORYL Maudeline,Maudeline,MORYL,MORYL,24/01/2003,Grenoble Foot 38 (FRA),160,,,12
6,MF,DUMORNAY Melchie,Melchie Daelle,DUMORNAY,DUMORNAY,17/08/2003,Stade Reims (FRA),160,,,12
7,FW,LOUIS Batcheba,Batcheba,LOUIS,B. LOUIS,15/06/1997,FC Fleury 91 (FRA),150,,,12
8,MF,ETIENNE Danielle,Danielle Monique,ETIENNE,ETIENNE,16/01/2001,Fordham Rams (USA),150,,,12
9,MF,JEUDY Sherly,Sherly,JEUDY,JEUDY,13/10/1998,N/A (Free Agent),165,,,12
10,FW,MONDESIR Nerilia,Nérilia,MONDÉSIR,MONDESIR,17/01/1999,Montpellier HSC (FRA),157,,,12
11,FW,ELOISSAINT Roseline,Roseline,ELOISSAINT,ELOISSAINT,20/02/1999,FC Nantes (FRA),161,,,12
12,GK,AMBROISE Nahomie,Nahomie,AMBROISE,AMBROISE,13/11/2003,N/A (Free Agent),182,,,12
13,DF,PETIT-FRERE Betina,Betina,PETIT-FRERE,PETIT-FRERE,01/08/2003,Stade Brest (FRA),160,,,12
14,DF,JOSEPH Esthericove,Esthericove,JOSEPH,E. JOSEPH,05/02/2003,Exafoot FC (HAI),180,,,12
15,FW,JOSEPH Darlina,Florsie Love Darlina,JOSEPH,D. JOSEPH,15/12/2003,Don Bosco FC (HAI),160,,,12
16,DF,PIERRE-JEROME Milan,Milan Raquel,PIERRE-JEROME,PIERRE-JEROME,23/04/2002,George Washington Colonials (USA),177,,,12
17,FW,JOSEPH Shwendesky,Shwendesky Macelus,JOSEPH,S. JOSEPH,18/11/1997,FC Zenit St. Petersburg (RUS),178,,,12
18,MF,GANTHIER Noa,Noa Olivia,GANTHIER,GANTHIER,13/10/2002,Weston Fury (USA),165,,,12
19,MF,PIERRE-LOUIS Dayana,Dayana,PIERRE LOUIS,PIERRE-LOUIS,24/09/2003,GPSO 92 Issy (FRA),179,,,12
20,DF,LOUIS Kethna,Kethna,LOUIS,K. LOUIS,05/08/1996,Stade Reims (FRA),177,,,12
21,DF,MATHURIN Ruthny,Ruthny,MATHURIN,MATHURIN,14/01/2001,Ragin Cajuns (USA),167,,,12
22,FW,BORGELLA Roselord,Roselord,BORGELLA,BORGELLA,01/04/1993,Dijon FCO (FRA),177,,,12
23,GK,LARCO Lara,Lara-Soa,LARCO,LARCO,27/11/2002,Georgetown Hoyas (USA),180,,,12
1,GK,SCHNEIDER Sydney,Sydney Michelle,SCHNEIDER,SCHNEIDER,31/08/1999,AC Sparta Prag (CZE),178,,,14
2,MF,WASHINGTON Solai,Solai Ava,WASHINGTON,WASHINGTON,01/10/2005,Concorde Fire SC (USA),167,,,14
3,DF,SAMPSON Vyan,Vyan,SAMPSON,SAMPSON,02/07/1996,Heart Of Midlothian FC (SCO),173,,,14
4,DF,SWABY Chantelle,Chantelle Monique,SWABY,C. SWABY,06/08/1998,FC Fleury 91 (FRA),178,,,14
5,DF,PLUMMER Konya,Konya Tajae,PLUMMER,PLUMMER,02/08/1997,N/A (Free Agent),173,,,14
6,MF,SOLAUN Havana,Havana Marguerite,SOLAUN,SOLAUN,23/02/1993,Houston Dash (USA),179,,,14
7,MF,McNAMARA Peyton,Peyton James,MCNAMARA,MCNAMARA,22/02/2002,Ohio State Buckeyes (USA),156,,,14
8,MF,SPENCE Drew,Drew Meigan,SPENCE,SPENCE,23/10/1992,Tottenham Hotspur FCW (ENG),165,,,14
9,FW,SIMMONDS Kameron,Kameron Necole,SIMMONDS,SIMMONDS,06/12/2003,Tennessee Volunteers (USA),170,,,14
10,MF,BROWN Jody,Jody Kimone,BROWN,BROWN,16/04/2002,Florida State Seminoles (USA),163,,,14
11,FW,SHAW Khadija,Khadija Monifa,SHAW,SHAW,31/01/1997,Manchester City WFC (ENG),180,,,14
12,MF,VAN ZANTEN Kalyssa,Kalyssa Priscilla,VAN ZANTEN,VAN ZANTEN,25/08/2001,Notre Dame Fighting Irish (USA),156,,,14
13,GK,SPENCER Rebecca,Rebecca Leigh,SPENCER,SPENCER,22/02/1991,Tottenham Hotspur FCW (ENG),167,,,14
14,DF,BLACKWOOD Deneisha,Deneisha Selena,BLACKWOOD,BLACKWOOD,07/03/1997,GPSO 92 Issy (FRA),171,,,14
15,MF,CAMERON Tiffany,Tiffany Devonna,CAMERON,CAMERON,16/10/1991,Real Betis (ESP),165,,,14
16,MF,BAILEY-GAYLE Paige,Paige Alicia,BAILEY GAYLE,BAILEY-GAYLE,12/11/2001,Crystal Palace FCW (ENG),179,,,14
17,DF,SWABY Allyson,Allyson Renee,SWABY,A. SWABY,03/10/1996,Paris Saint-Germain FC (FRA),172,,,14
18,MF,CARTER Trudi,Trudi Sudan,CARTER,CARTER,18/11/1994,FC Levante Las Planas (ESP),157,,,14
19,MF,WILTSHIRE Tiernny,Tiernny Arlene,WILTSHIRE,WILTSHIRE,08/05/1998,Houston Dash (USA),165,,,14
20,MF,PRIMUS Atlanta,Atlanta Reigan,PRIMUS,PRIMUS,21/04/1997,London City Lionesses FC (ENG),170,,,14
21,FW,MATTHEWS Cheyna,Cheyna Lee,WILLIAMS MATTHEWS,MATTHEWS,10/11/1993,Chicago Red Stars (USA),175,,,14
22,MF,McKENNA Kayla,Kayla Jay,MCCOY,MCKENNA,03/09/1996,Rangers FC (SCO),170,,,14
23,GK,BROOKS Liya,Liya Njeri N'day,BROOKS,BROOKS,17/05/2005,Washington Cougars (USA),160,,,14
1,GK,OLUEHI Tochukwu,Tochukwu,OLUEHI,OLUEHI T.,02/05/1987,Hakkarigücü Spor (TUR),168,,,20
2,DF,PLUMPTRE Ashleigh,Ashleigh Megan,PLUMPTRE,PLUMPTRE,08/05/1998,Leicester City LFC (ENG),170,,,20
3,DF,OHALE Osinachi,Osinachi Marvis,OHALE,OHALE,21/12/1991,Deportivo Alavés (ESP),174,,,20
4,DF,OGBONNA Glory,Glory Akumbu,OGBONNA,OGBONNA,25/12/1998,Besiktas JK (TUR),160,,,20
5,DF,EBI Onome,Onome,EBI,EBI,08/05/1983,Abia Angels FC (NGA),175,,,20
6,FW,ONUMONU Ifeoma,Ifeoma Chukwufumnaya,ONUMONU,ONUMONU,25/02/1994,NJ/NY Gotham FC (USA),170,,,20
7,MF,PAYNE Toni,Antionette Oyedupe,PAYNE,PAYNE,22/04/1995,Sevilla FC (ESP),160,,,20
8,FW,OSHOALA Asisat,Asisat Lamina,OSHOALA,OSHOALA,09/10/1994,FC Barcelona (ESP),173,,,20
9,FW,OPARANOZIE Desire,Ugochi Desire,OPARANOZIE,DESIRE,17/12/1993,Wuhan Chedu Jiangda WFC (CHN),170,,,20
10,MF,UCHEIBE Christy,Christy Onyenaturuchi,UCHEIBE,C. UCHEIBE,25/12/2000,SL Benca (POR),170,,,20
11,FW,MONDAY Gift,Gift Nyakno,MONDAY,MONDAY,09/12/2001,UDG Tenerife (ESP),168,,,20
12,FW,KANU Uchenna,Uchenna Grace,KANU,KANU,20/06/1997,Racing Louisville FC (USA),176,,,20
13,MF,ABIODUN Deborah,Deborah Ajibola,ABIODUN,ABIODUN,02/11/2003,Pittsburgh Panthers (USA),167,,,20
14,DF,DEMEHIN Blessing,Oluwatosin Blessing,DEMEHIN,DEMEHIN,13/03/2002,Rivers Angels FC (NGA),167,,,20
15,MF,AJIBADE Rasheedat,Rasheedat Busayo,AJIBADE,AJIBADE,08/12/1999,CA Atlético Madrid Femenino (ESP),167,,,20
16,GK,NNADOZIE Chiamaka,Chiamaka Cynthia,NNADOZIE,C. NNADOZIE,08/12/2000,Paris FC (FRA),180,,,20
17,FW,ORDEGA Francisca,Francisca,ORDEGA,ORDEGA,19/10/1993,ZFK CSKA Moscow (RUS),160,,,20
18,MF,AYINDE Halimatu,Halimatu Ibrahim,AYINDE,AYINDE,16/05/1995,FC Rosengård (SWE),167,,,20
19,MF,ECHEGINI Jennifer,Jennifer Onyinyechi,ECHEGINI,ECHEGINI,22/03/2001,Florida State Seminoles (USA),170,,,20
20,DF,IMURAN Roat,Roat Adenike,IMURAN,IMURAN,17/06/2004,Stade Reims (FRA),165,,,20
21,FW,OKORONKWO Esther,Ijeoma Esther,OKORONKWO,E. OKORONKWO,27/03/1997,AS Saint-Etienne (FRA),165,,,20
22,DF,ALOZIE Michelle,Michelle Chinwen,ALOZIE,ALOZIE,28/04/1997,Houston Dash (USA),170,,,20
23,GK,BALOGUN Zainab,Zainab Yewande Omoyiola,BALOGUN,BALOGUN,28/09/1989,AS Saint-Etienne (FRA),170,,,20
1,GK,INES PEREIRA,Inês,TEIXEIRA PEREIRA,INÊS PEREIRA,26/05/1999,Servette FC Chênois Féminin (SUI),170,36,0,24
2,DF,CATARINA AMADO,Catarina Isabel,DA SILVA AMADO,AMADO,21/07/1999,SL Benca (POR),168,27,0,24
3,DF,LUCIA ALVES,Lúcia Catarina,DE SOUSA ALVES,LÚCIA A.,22/10/1997,SL Benca (POR),159,12,0,24
4,DF,SILVIA REBELO,Sílvia Marisa,GARCIA REBELO,SÍLVIA,20/05/1989,SL Benca (POR),173,124,2,24
5,DF,JOANA MARCHAO,Joana Filipa,GASPAR DA SILVA MARCHÃO,MARCHÃO,24/10/1996,Parma FC (ITA),162,39,1,24
6,MF,ANDREIA JACINTO,Andreia,DE JESUS JACINTO,ANDREIA J.J.,08/06/2002,Real Sociedad (ESP),171,28,0,24
7,MF,ANA RUTE,Ana Rute,SANTOS MARQUES RODRIGUES,ANA RUTE,29/01/1998,SC Braga (POR),172,4,0,24
8,MF,ANDREIA NORTON,Andreia Alexandra,NORTON,A. NORTON,15/08/1996,SL Benca (POR),163,78,4,24
9,DF,ANA BORGES,Ana Catarina,MARQUES BORGES,ANA BORGES,15/06/1990,Sporting CP (POR),157,162,11,24
10,FW,JESSICA SILVA,Jéssica Lisandra,MANJENJE NOGUEIRA DA SILVA,JÉSSICA S.,11/12/1994,SL Benca (POR),170,105,15,24
11,MF,TATIANA PINTO,Tatiana Vanessa,FERREIRA PINTO,TATIANA P.,28/03/1994,Levante UD (ESP),169,105,5,24
12,GK,PATRICIA MORAIS,Patrícia Isabel,DE SOUSA BARROS MORAIS,P. MORAIS,17/06/1992,SC Braga (POR),175,84,0,24
13,MF,FATIMA PINTO,Fátima Alexandra,FIGUEIRA PINTO,FÁTIMA P.,16/01/1996,Sporting CP (POR),169,80,3,24
14,MF,DOLORES SILVA,Dolores Isabel,JÁCOME DA SILVA,DOLORES,07/08/1991,SC Braga (POR),166,152,17,24
15,DF,CAROLE COSTA,Carole,DA SILVA COSTA,CAROLE,03/05/1990,SL Benca (POR),172,158,18,24
16,FW,DIANA SILVA,Diana Michaela,ABREU DE SOUSA E SILVA,DIANA S.,04/06/1995,Sporting CP (POR),161,97,20,24
17,DF,ANA SEICA,Ana Rita,DA SILVA SEIÇA,ANA SEIÇA,25/03/2001,SL Benca (POR),169,4,0,24
18,FW,CAROLINA MENDES,Carolina Ana,TRINDADE CORUCHE MENDES,C. MENDES,27/11/1987,Sporting CP (POR),172,116,23,24
19,DF,DIANA GOMES,Diana Catarina,RIBEIRO GOMES,DIANA G.,26/07/1998,Sevilla FC (ESP),169,38,5,24
20,FW,KIKA NAZARETH,Francisca,RAMOS RIBEIRO NAZARETH DE SOUS,KIKA,17/11/2002,SL Benca (POR),170,30,7,24
21,FW,ANA CAPETA,Ana Inês,PALMA CAPETA,CAPETA,22/12/1997,Sporting CP (POR),169,27,6,24
22,GK,RUTE COSTA,Ana Rute,CAMPOS DA COSTA,RUTE COSTA,01/06/1994,SL Benca (POR),170,8,0,24
23,FW,TELMA ENCARNACAO,Telma Raquel,VELOSA DA ENCARNAÇÃO,TELMA,11/10/2001,CS Maritimo (POR),169,26,6,24
1,GK,MUSONDA Catherine,Catherine,MUSONDA,MUSONDA,20/02/1998,WFC Tomiris-Turan (KAZ),170,,,32
2,DF,SOKO Judith,Judith,SOKO,SOKO,31/03/2004,Yasa Queens FC (ZAM),155,,,32
3,DF,MWEEMBA Lushomo,Lushomo,MWEEMBA,MWEEMBA,10/04/2001,Green Buffaloes FC (ZAM),160,,,32
4,MF,BANDA Susan,Susan,BANDA,BANDA S.,06/07/1990,Red Arrows FC (ZAM),158,,,32
5,DF,MULENGA Mary,Mary,MULENGA,MULENGA,11/04/1998,Red Arrows FC (ZAM),160,,,32
6,MF,WILOMBE Mary,Mary,WILOMBE,WILOMBE,22/09/1997,Red Arrows FC (ZAM),155,,,32
7,FW,LUBANDJI Ochumba,Ochumba Oseke,LUBANDJI,OCHUMBA,01/07/2001,Red Arrows FC (ZAM),173,,,32
8,DF,BELEMU Margaret,Margaret,BELEMU,BELEMU,24/02/1997,Shanghai Shengli WFC (CHN),145,,,32
9,FW,MUBANGA Hellen,Hellen,MUBANGA,MUBANGA,23/05/1995,Zaragoza CFF (ESP),155,,,32
10,MF,SELEMANI Comfort,Comfort,SELEMANI,SELEMANI,08/02/2004,Elite LFC (ZAM),156,,,32
11,FW,BANDA Barbra,Barbra,BANDA,BANDA B.,20/03/2000,Shanghai Shengli WFC (CHN),153,,,32
12,MF,KATONGO Evarine,Evarine Suzeni,KATONGO,KATONGO,29/12/2002,Zisd Queens FC (ZAM),155,,,32
13,DF,TEMBO Martha,Martha,TEMBO,TEMBO,08/03/1998,BIIK Kazygurt (KAZ),154,,,32
14,MF,LUNGU Ireen,Ireen,LUNGU,LUNGU,06/10/1997,BIIK Kazygurt (KAZ),152,,,32
15,DF,MUSESA Agness,Agness,MUSESA,MUSESA,11/07/1997,Green Buffaloes FC (ZAM),165,,,32
16,GK,LUNGU Leticia,Leticia,LUNGU,LUNGU L.,07/08/2001,ZESCO United FC (ZAM),156,,,32
17,FW,KUNDANANJI Racheal,Racheal,KUNDANANJI,KUNDANANJI,03/06/2000,Madrid CFF (ESP),170,,,32
18,GK,SAKALA Eunice,Eunice,SAKALA,SAKALA,23/05/2002,Nkwazi Queens FC (ZAM),176,,,32
19,FW,MAPEPA Siomala,Siomala,MAPEPA,MAPEPA,08/08/2002,Elite LFC (ZAM),163,,,32
20,FW,CHANDA Hellen,Hellen Nga'ndwe,CHANDA,CHANDA H.,19/06/1998,BIIK Kazygurt (KAZ),165,,,32
21,MF,CHITUNDU Avell,Avell,CHITUNDU,CHITUNDU,30/07/1997,ZESCO United FC (ZAM),140,,,32
22,DF,BANDA Esther,Esther,BANDA,BANDA E.,21/11/2004,Bauleni United SA (ZAM),156,,,32
23,DF,PHIRI Vast,Vast,PHIRI,PHIRI,03/02/1996,ZESCO United FC (ZAM),150,,,32
